N,P,K,temperature,humidity,ph,rainfall,label,irrigation_requirement
29.16,37.96,31.06,18.53,54.56,5.75,89.04,coffee,1.88
34.95,39.48,26.16,25.66,68.85,6.29,119.48,coffee,3.2
30.89,49.26,26.51,20.93,54.51,5.7,68.45,coffee,2.2
32.45,45.63,36.57,19.18,66.22,6.14,83.29,coffee,0.8
33.48,35.2,31.9,25.34,55.81,5.97,113.41,coffee,4.29
34.15,31.24,27.95,18.06,62.62,5.95,68.06,coffee,0.52
39.16,40.59,29.84,22.0,63.59,5.58,76.48,coffee,1.77
36.14,39.19,35.93,21.46,50.88,5.67,86.73,coffee,3.09
24.18,31.0,41.87,25.85,65.86,6.35,74.52,coffee,2.66
39.21,33.94,44.03,25.96,64.23,6.48,94.17,coffee,3.25
25.19,38.74,36.87,18.58,62.45,6.48,71.41,coffee,0.76
55.85,58.16,59.16,24.6,67.82,7.47,160.58,wheat,3.81
43.23,49.54,55.77,17.47,69.61,7.0,113.02,wheat,0.54
51.3,55.43,52.48,15.12,60.14,6.54,174.1,wheat,2.0
44.57,52.69,48.33,18.22,72.72,7.09,107.63,wheat,0.35
48.57,40.58,52.21,21.62,61.78,6.43,131.83,wheat,2.95
58.39,59.87,45.67,22.61,65.58,6.59,160.34,wheat,3.43
58.37,59.02,53.66,18.57,71.81,6.38,145.13,wheat,1.29
47.17,53.13,48.61,16.92,73.77,6.15,140.48,wheat,0.51
44.42,40.78,45.54,16.75,73.0,6.42,176.04,wheat,1.25
51.63,48.73,53.7,20.17,71.38,6.42,128.24,wheat,1.48
57.88,58.93,58.39,19.19,71.71,6.71,139.8,wheat,1.38
44.09,51.82,47.79,18.32,72.83,6.31,105.69,wheat,0.33
41.38,58.82,52.6,19.09,72.16,7.25,126.58,wheat,1.04
53.87,55.42,54.82,16.52,73.14,6.81,122.6,wheat,0.09
48.5,40.75,46.92,22.66,60.0,6.62,141.8,wheat,3.63
41.09,59.46,48.39,18.04,64.56,6.35,100.12,wheat,0.96
54.59,59.34,48.36,21.63,71.13,7.27,133.81,wheat,2.05
46.06,46.51,55.69,23.17,62.72,6.56,172.16,wheat,4.12
56.13,59.7,56.31,18.93,68.86,6.99,106.28,wheat,0.92
50.89,54.19,47.51,22.81,68.76,7.43,103.39,wheat,2.03
45.31,52.03,49.45,22.14,71.39,6.15,141.11,wheat,2.33
50.18,47.39,58.99,23.28,70.46,7.07,136.94,wheat,2.68
58.42,53.89,55.93,23.62,64.11,7.21,115.62,wheat,2.99
46.91,46.71,59.68,23.57,70.52,7.09,144.97,wheat,2.92
58.94,49.93,50.71,16.63,71.79,7.1,130.75,wheat,0.42
40.5,56.78,45.17,22.04,74.55,6.66,118.8,wheat,1.53
54.1,56.34,53.2,24.67,60.78,6.76,157.48,wheat,4.47
57.25,43.59,57.0,20.53,65.95,6.2,169.22,wheat,2.95
43.15,46.2,49.35,23.71,70.09,7.2,120.04,wheat,2.51
52.5,51.43,57.49,24.06,60.18,7.01,104.15,wheat,3.28
50.98,45.75,49.6,18.53,69.32,6.5,158.62,wheat,1.8
48.09,41.37,56.76,17.86,66.49,7.03,126.6,wheat,1.24
41.13,47.48,59.17,21.42,70.07,6.95,115.92,wheat,1.74
48.37,55.02,46.52,17.78,64.14,6.65,178.43,wheat,2.49
41.35,50.37,47.69,24.71,61.7,6.61,159.03,wheat,4.42
54.09,48.45,50.2,18.98,63.96,6.31,138.64,wheat,2.07
45.37,45.75,54.85,24.69,69.05,6.12,106.05,wheat,2.62
59.03,45.95,46.38,20.99,69.35,6.97,121.39,wheat,1.79
40.3,59.3,48.76,21.76,70.6,6.92,125.03,wheat,1.97
45.42,51.95,57.99,24.47,61.59,6.23,175.58,wheat,4.69
54.73,57.66,48.04,20.88,70.52,7.02,132.65,wheat,1.86
40.31,51.66,48.8,19.5,74.36,6.6,167.18,wheat,1.76
43.77,53.45,59.66,16.02,60.12,6.65,107.41,wheat,0.94
54.97,58.29,51.51,17.59,66.52,7.09,100.72,wheat,0.64
51.79,52.27,54.57,17.42,70.71,6.14,115.94,wheat,0.47
57.55,54.77,45.21,17.48,63.22,6.41,119.8,wheat,1.32
41.25,49.18,55.99,21.07,70.09,6.12,176.12,wheat,2.83
56.77,56.1,57.34,24.33,68.16,6.3,149.34,wheat,3.47
54.86,54.76,52.82,15.68,65.57,7.38,146.76,wheat,1.08
50.77,45.38,50.53,23.95,70.0,7.18,136.35,wheat,2.91
52.6,44.97,55.58,19.28,66.64,6.97,174.9,wheat,2.62
41.28,56.49,49.39,19.44,60.33,6.45,140.21,wheat,2.6
41.12,49.82,58.91,16.05,71.47,6.61,152.41,wheat,0.72
45.2,43.19,47.41,15.7,62.78,7.0,170.54,wheat,1.84
56.28,53.7,46.66,17.89,64.65,6.37,141.2,wheat,1.73
50.71,47.14,50.31,23.29,71.84,6.46,173.1,wheat,3.26
59.06,46.53,50.32,20.06,74.12,7.31,108.21,wheat,0.77
47.85,51.07,52.55,16.94,72.88,7.02,167.03,wheat,1.13
57.18,54.97,51.59,21.11,62.41,7.01,114.34,wheat,2.38
53.88,44.59,46.76,16.65,60.03,7.08,158.59,wheat,2.16
50.3,43.23,46.25,15.19,62.49,7.34,119.32,wheat,0.7
47.09,42.11,48.34,20.19,69.12,6.37,104.62,wheat,1.24
47.82,44.68,48.29,24.6,69.24,6.84,133.26,wheat,3.12
48.58,50.82,55.45,22.02,62.58,6.75,132.96,wheat,3.01
57.41,52.63,52.99,16.15,69.08,6.18,126.98,wheat,0.48
42.86,53.84,48.09,18.92,73.44,6.31,140.62,wheat,1.14
48.39,40.36,56.89,15.69,67.11,6.84,150.27,wheat,1.0
53.77,45.07,45.15,22.23,68.03,7.25,165.71,wheat,3.18
56.87,49.7,50.0,22.92,66.77,6.28,168.4,wheat,3.57
57.65,49.33,46.14,18.88,72.05,7.35,116.28,wheat,0.78
41.34,57.55,50.84,20.42,74.52,6.1,151.87,wheat,1.71
41.48,47.51,57.06,19.33,74.96,6.84,125.69,wheat,0.82
44.4,47.01,50.59,15.69,65.54,6.7,157.82,wheat,1.31
53.13,54.18,45.13,17.18,69.93,6.73,100.43,wheat,0.17
56.09,55.46,53.23,15.66,71.5,6.88,162.56,wheat,0.8
55.03,56.06,52.77,16.4,70.07,6.93,159.38,wheat,1.1
43.4,43.9,58.36,22.5,73.62,7.14,147.77,wheat,2.34
53.08,57.78,53.68,21.32,62.35,6.71,157.31,wheat,3.31
45.42,44.05,49.71,17.42,63.22,6.64,172.63,wheat,2.35
50.14,43.76,46.15,21.96,65.74,7.23,152.76,wheat,3.07
55.92,45.44,55.39,17.64,74.09,6.95,125.96,wheat,0.4
45.39,43.82,55.42,17.19,68.93,6.4,152.96,wheat,1.32
56.3,55.56,56.41,16.88,61.33,7.05,129.47,wheat,1.52
48.65,40.62,48.89,15.34,73.19,6.37,144.59,wheat,0.17
40.78,53.34,49.85,23.98,73.32,6.49,172.08,wheat,3.3
59.92,56.51,57.67,17.49,68.65,6.1,107.59,wheat,0.53
59.98,46.53,56.22,23.07,72.87,7.5,119.32,wheat,2.02
40.81,48.22,46.95,15.22,65.41,7.18,145.29,wheat,0.93
46.26,53.09,48.48,15.14,71.47,6.94,160.98,wheat,0.62
40.78,56.74,54.29,20.63,69.37,7.3,146.95,wheat,2.19
51.62,59.81,56.35,19.42,70.61,6.58,118.31,wheat,1.13
51.94,58.56,58.94,18.42,67.92,6.32,179.65,wheat,2.33
59.62,52.99,57.07,22.15,68.9,6.08,136.38,wheat,2.48
53.5,53.55,50.6,24.42,62.51,6.75,155.27,wheat,4.18
53.94,52.97,49.13,16.56,69.54,6.9,114.35,wheat,0.3
54.1,49.1,55.02,23.37,62.55,6.03,162.33,wheat,4.0
52.19,53.99,57.57,23.03,74.41,6.8,139.08,wheat,2.25
48.04,43.07,53.59,17.77,73.82,6.87,147.43,wheat,0.9
47.1,41.04,45.48,19.23,61.27,6.91,170.48,wheat,3.05
57.66,53.18,48.17,23.63,73.29,6.29,158.99,wheat,2.94
51.46,44.08,59.92,25.3,67.95,7.06,118.14,cotton,3.16
58.6,45.42,31.87,28.35,51.34,7.94,107.19,cotton,5.52
74.1,48.14,32.55,28.86,51.42,6.03,66.06,cotton,4.84
58.76,28.06,33.03,26.67,52.95,7.93,103.15,cotton,4.77
78.71,33.19,38.35,32.98,56.53,6.25,66.28,cotton,5.57
45.19,27.69,40.66,31.74,51.25,6.03,106.63,cotton,6.53
45.88,30.28,55.94,26.55,51.65,6.71,71.17,cotton,4.22
62.54,44.11,34.11,30.81,60.11,5.86,93.68,cotton,5.1
50.95,34.64,32.47,29.6,56.13,7.56,53.99,cotton,4.35
56.74,33.75,51.75,30.74,63.34,7.44,110.35,cotton,5.1
52.56,36.14,55.2,34.89,67.79,6.43,63.66,cotton,4.96
59.58,42.25,44.78,29.83,66.76,6.4,110.19,cotton,4.48
56.27,29.85,43.62,32.62,52.52,5.99,116.6,cotton,6.87
47.02,37.03,47.38,29.9,62.89,6.07,88.69,cotton,4.45
54.89,39.85,34.24,30.71,53.71,6.2,65.31,cotton,5.15
47.31,44.77,38.57,34.27,69.4,6.93,60.01,cotton,4.54
54.98,43.93,41.02,25.87,61.14,7.61,105.71,cotton,3.76
47.0,40.18,36.62,27.18,67.48,6.12,68.43,cotton,2.78
40.03,46.12,53.78,31.27,65.01,5.88,82.08,cotton,4.52
54.05,22.81,44.58,34.21,50.8,6.23,64.53,cotton,6.47
49.53,47.25,44.04,29.66,65.21,5.89,84.11,cotton,4.06
57.2,37.91,59.99,32.69,57.96,7.57,61.95,cotton,5.25
41.22,26.13,40.21,30.11,62.3,7.78,85.69,cotton,4.52
60.05,21.51,31.05,30.51,58.76,7.6,61.25,cotton,4.5
41.0,33.47,37.12,25.5,64.49,5.78,92.58,cotton,3.05
51.24,25.2,41.39,33.01,57.84,7.38,58.78,cotton,5.3
70.91,27.11,50.32,30.66,68.58,6.47,54.63,cotton,3.43
40.77,44.81,45.74,32.75,54.69,6.36,52.11,cotton,5.4
78.46,40.04,58.0,27.65,62.23,7.2,72.23,cotton,3.52
73.92,48.41,56.55,32.39,55.55,6.2,117.44,cotton,6.51
40.41,41.48,51.19,31.23,69.8,6.28,73.8,cotton,3.86
43.16,33.28,37.83,28.43,66.69,7.84,63.0,cotton,3.12
54.9,47.86,31.85,25.92,53.26,6.99,60.53,cotton,3.66
78.72,33.4,45.05,27.47,59.42,7.15,102.58,cotton,4.35
70.15,37.34,57.13,33.17,65.14,5.64,50.48,cotton,4.45
48.5,39.91,42.34,29.02,67.69,7.74,113.64,cotton,4.21
52.56,40.73,38.15,26.91,53.69,6.36,80.1,cotton,4.3
73.24,23.6,52.05,30.31,55.76,6.73,71.0,cotton,4.94
63.84,33.02,34.93,26.17,60.93,7.76,74.08,cotton,3.24
69.32,39.76,57.95,33.21,61.33,7.14,112.89,cotton,6.09
55.98,29.8,30.32,33.27,66.02,5.76,90.38,cotton,5.19
58.56,23.56,59.42,27.15,51.34,6.99,101.72,cotton,5.04
41.3,39.76,45.97,26.03,53.45,6.92,70.75,cotton,3.88
77.53,44.56,59.51,27.6,69.39,6.58,74.33,cotton,2.83
42.01,21.58,50.76,29.58,54.53,7.03,67.7,cotton,4.77
63.11,30.78,54.71,33.21,59.55,6.38,75.38,cotton,5.51
72.23,29.85,36.27,25.85,59.33,6.71,108.86,cotton,4.0
48.85,31.43,54.25,33.24,57.69,6.65,71.23,cotton,5.63
77.3,23.56,58.01,31.84,60.63,5.58,83.29,cotton,5.15
56.31,24.84,49.69,34.71,61.24,7.29,54.79,cotton,5.38
56.71,23.49,48.38,34.38,63.24,5.69,74.83,cotton,5.49
62.03,32.1,55.01,33.15,62.24,6.43,67.87,cotton,5.08
44.23,30.65,42.4,31.76,63.16,5.68,77.67,cotton,4.76
47.27,24.7,54.82,25.42,58.38,5.92,111.55,cotton,4.02
62.28,26.94,45.07,32.31,69.16,6.05,112.03,cotton,5.02
77.37,47.49,49.06,31.3,58.06,7.38,87.19,cotton,5.33
67.1,32.85,51.94,33.24,52.93,7.58,87.82,cotton,6.44
73.79,32.94,41.37,34.15,55.02,7.61,83.88,cotton,6.42
60.56,29.25,47.19,28.25,50.79,6.18,50.45,cotton,4.41
79.13,48.97,41.85,32.28,56.92,7.18,106.38,cotton,6.12
77.87,32.01,53.5,27.66,69.81,5.56,92.25,cotton,3.16
66.38,40.64,33.61,34.39,53.62,7.06,65.59,cotton,6.26
52.29,36.39,42.52,26.6,53.42,6.55,103.01,cotton,4.7
75.92,22.52,41.79,26.0,50.33,7.15,92.17,cotton,4.61
46.52,27.01,30.71,33.35,69.49,5.84,66.2,cotton,4.38
74.74,47.79,42.59,25.51,50.79,6.93,77.5,cotton,4.12
41.15,37.5,30.34,32.87,56.13,5.6,91.18,cotton,6.07
55.91,49.21,46.33,27.75,64.19,6.18,113.3,cotton,4.17
54.99,36.5,31.52,29.26,66.65,7.51,65.7,cotton,3.43
49.04,44.52,57.91,25.95,59.0,6.34,110.95,cotton,4.1
43.34,26.33,52.57,25.51,59.85,6.61,73.41,cotton,3.14
55.78,35.9,34.84,30.72,66.11,7.4,60.77,cotton,3.82
45.97,28.05,40.83,29.08,63.59,5.64,52.43,cotton,3.41
55.68,40.91,35.8,31.42,55.2,7.72,112.7,cotton,6.16
51.89,26.9,42.34,27.41,63.45,7.57,97.12,cotton,3.82
72.97,31.91,34.69,32.38,57.21,7.18,68.95,cotton,5.37
43.25,49.78,34.69,34.88,69.55,7.48,96.16,cotton,5.43
63.11,45.98,38.68,29.68,62.39,6.53,79.92,cotton,4.26
53.21,36.93,55.52,27.02,68.69,7.22,107.63,cotton,3.39
62.25,43.39,30.49,33.18,50.8,7.72,119.44,cotton,7.26
51.76,26.31,52.96,27.53,67.31,5.76,58.82,cotton,2.7
79.17,40.22,55.41,28.24,63.53,6.99,92.22,cotton,3.96
67.3,37.26,42.87,27.76,65.37,6.07,98.46,cotton,3.76
49.33,38.76,52.41,27.19,51.2,5.83,92.42,cotton,4.88
73.98,21.35,52.02,28.41,59.57,7.82,73.24,cotton,4.03
58.61,20.41,32.45,27.59,50.56,7.08,79.85,cotton,4.82
61.93,25.24,38.88,31.64,69.31,5.63,112.33,cotton,4.81
63.08,36.92,45.01,25.69,51.8,7.0,73.87,cotton,4.01
76.69,32.2,34.3,32.15,55.87,6.81,98.85,cotton,6.03
76.01,43.77,50.29,31.8,68.92,6.24,50.08,cotton,3.65
50.88,26.54,49.86,31.34,61.87,5.54,101.01,cotton,5.23
52.94,39.95,46.7,28.43,52.69,5.74,108.21,cotton,5.42
76.74,39.49,33.1,29.02,64.58,7.45,58.28,cotton,3.41
40.0,41.36,40.7,27.54,50.26,6.85,109.58,cotton,5.43
78.31,36.97,45.43,25.85,60.98,6.45,92.5,cotton,3.51
55.55,27.21,32.85,28.15,51.93,5.94,119.11,cotton,5.63
57.76,35.96,56.21,34.96,61.65,7.53,72.89,cotton,5.78
52.23,32.08,50.18,31.82,56.3,5.83,94.27,cotton,5.8
45.13,37.35,50.8,32.01,65.07,7.68,85.0,cotton,4.79
69.21,38.58,35.6,25.26,55.69,6.61,93.2,cotton,3.87
131.0,47.85,67.53,34.45,62.7,6.96,237.83,sugarcane,8.82
112.48,43.44,63.42,21.58,74.64,7.09,185.06,sugarcane,2.71
118.27,72.8,62.49,27.47,77.23,6.5,196.17,sugarcane,4.44
116.82,75.92,108.6,28.75,78.26,6.73,246.14,sugarcane,5.72
107.97,47.6,102.1,28.35,68.97,7.82,153.14,sugarcane,4.67
98.95,42.28,105.99,30.53,68.28,7.35,209.39,sugarcane,6.52
125.38,58.17,84.74,34.02,66.27,6.24,237.68,sugarcane,8.33
138.16,55.11,63.72,25.09,72.65,6.32,248.72,sugarcane,5.24
139.86,58.07,81.28,26.01,62.88,7.77,212.22,sugarcane,5.76
103.24,66.39,86.52,29.72,61.54,7.63,291.08,sugarcane,8.58
118.93,78.18,69.09,27.16,75.05,7.16,210.22,sugarcane,4.85
100.29,45.07,83.5,22.44,78.36,6.42,158.78,sugarcane,2.07
113.14,63.81,112.31,28.65,68.64,7.61,231.04,sugarcane,6.35
84.76,62.63,114.48,25.94,67.41,6.29,172.72,sugarcane,4.5
105.97,63.83,64.84,34.09,78.88,7.17,274.27,sugarcane,7.83
84.81,59.07,97.81,32.43,79.59,6.55,291.13,sugarcane,7.59
87.46,75.01,118.26,22.66,78.05,6.08,210.81,sugarcane,3.21
110.98,63.23,116.16,30.08,72.03,7.62,292.58,sugarcane,7.67
81.32,79.3,65.17,32.22,67.01,6.26,215.98,sugarcane,7.28
118.64,55.24,63.27,28.99,82.56,6.77,182.45,sugarcane,4.09
106.55,41.93,109.23,32.4,74.7,6.71,269.97,sugarcane,7.65
113.28,73.04,97.89,31.77,74.96,6.83,293.69,sugarcane,7.91
112.47,64.2,73.23,29.38,74.29,6.37,158.94,sugarcane,4.57
116.26,70.55,91.4,23.4,76.66,6.16,216.28,sugarcane,3.68
89.8,47.38,72.14,25.8,61.28,6.8,226.76,sugarcane,6.15
109.0,55.31,110.35,22.18,72.64,6.12,160.67,sugarcane,2.6
114.43,62.64,112.68,28.37,83.99,6.1,164.7,sugarcane,3.4
82.64,47.41,92.48,29.68,61.14,7.89,276.32,sugarcane,8.32
97.8,43.09,70.19,21.9,63.08,7.04,186.88,sugarcane,4.0
101.49,79.58,101.06,34.23,63.56,6.76,233.21,sugarcane,8.58
84.61,40.17,100.23,29.63,70.27,6.98,212.32,sugarcane,6.11
81.44,53.41,70.62,21.48,83.92,7.2,259.3,sugarcane,3.24
98.92,55.73,74.22,21.45,64.48,7.6,251.63,sugarcane,5.02
112.82,59.0,115.35,21.09,67.02,6.7,267.36,sugarcane,4.97
139.55,49.63,112.46,32.46,65.62,6.8,211.45,sugarcane,7.41
138.69,47.24,107.95,25.01,78.27,6.84,236.75,sugarcane,4.41
129.96,72.17,111.99,20.89,77.3,6.28,212.37,sugarcane,2.79
112.92,56.11,91.18,34.95,63.38,7.35,209.4,sugarcane,8.33
87.98,46.35,116.96,33.19,82.68,7.98,181.25,sugarcane,5.32
101.33,66.77,89.03,26.28,68.95,7.19,236.34,sugarcane,5.72
89.69,58.87,93.21,28.55,65.25,7.48,153.78,sugarcane,5.12
101.29,71.21,93.83,23.92,77.37,7.13,269.44,sugarcane,4.83
124.1,64.4,89.29,22.0,66.53,6.84,239.89,sugarcane,4.74
110.82,51.53,60.39,27.44,67.14,7.47,153.59,sugarcane,4.59
115.09,77.66,70.46,27.07,62.29,7.25,232.58,sugarcane,6.55
104.44,60.86,113.79,22.94,60.56,7.72,236.57,sugarcane,5.56
133.44,63.88,108.61,26.45,78.75,7.83,235.82,sugarcane,4.78
90.85,50.75,71.92,23.7,67.66,7.11,238.2,sugarcane,5.11
105.59,64.62,64.89,21.32,64.3,7.04,182.1,sugarcane,3.61
97.0,56.01,108.71,20.21,76.23,7.34,269.8,sugarcane,3.83
135.97,40.81,69.23,33.29,71.46,7.13,249.45,sugarcane,7.83
120.74,77.27,119.82,30.8,67.18,7.76,157.38,sugarcane,5.67
93.86,75.9,75.37,23.31,63.45,7.72,225.01,sugarcane,5.15
120.49,49.56,105.48,31.4,67.81,6.82,181.45,sugarcane,6.27
138.59,65.82,116.07,24.55,79.55,7.53,253.75,sugarcane,4.49
137.94,55.74,67.84,30.08,78.23,7.15,181.02,sugarcane,4.82
110.27,52.49,85.65,29.68,78.63,6.46,210.8,sugarcane,5.26
96.15,47.95,107.0,33.64,69.26,7.5,284.55,sugarcane,8.86
130.77,47.31,117.38,25.65,68.48,6.12,222.93,sugarcane,5.31
86.54,49.94,79.02,32.13,81.89,6.6,278.8,sugarcane,7.03
131.43,70.59,68.8,30.35,83.63,7.37,199.74,sugarcane,4.74
110.03,65.83,90.63,21.8,67.8,7.6,279.21,sugarcane,5.34
88.24,78.1,79.73,29.93,78.8,7.62,291.86,sugarcane,6.94
98.78,74.34,67.9,30.58,78.55,7.36,187.85,sugarcane,5.07
132.38,46.75,63.22,30.76,71.89,7.7,207.51,sugarcane,6.19
90.1,73.46,92.93,22.84,78.01,7.02,240.65,sugarcane,3.86
107.65,73.15,109.77,30.64,62.64,7.68,250.65,sugarcane,7.94
121.82,54.52,112.76,30.88,62.81,6.82,282.96,sugarcane,8.64
82.83,78.46,100.75,29.47,66.76,6.5,291.31,sugarcane,7.99
97.9,71.02,83.59,22.09,60.27,7.09,296.37,sugarcane,6.53
102.15,54.29,80.65,27.81,71.02,7.76,225.83,sugarcane,5.76
110.47,45.53,118.96,23.75,61.83,7.33,239.3,sugarcane,5.73
104.91,56.89,107.1,22.94,80.51,7.3,212.85,sugarcane,3.09
107.48,50.27,105.13,27.69,68.02,7.19,299.36,sugarcane,7.49
106.12,76.83,80.7,20.82,65.11,6.84,182.95,sugarcane,3.39
80.01,76.6,110.63,31.13,64.2,6.24,160.14,sugarcane,6.12
123.44,77.15,85.83,21.79,72.81,6.7,206.22,sugarcane,3.38
117.28,68.75,66.64,20.53,84.86,6.47,158.07,sugarcane,0.84
91.39,41.56,83.51,32.04,68.53,6.89,251.34,sugarcane,7.78
110.53,74.46,111.96,20.15,79.45,6.92,298.33,sugarcane,4.07
108.99,79.48,105.27,23.73,73.46,7.98,278.63,sugarcane,5.35
85.84,68.25,80.73,20.1,70.09,6.47,272.83,sugarcane,4.48
100.24,73.1,60.04,24.62,66.03,6.47,160.23,sugarcane,3.99
91.23,62.22,77.48,26.26,69.42,7.75,285.79,sugarcane,6.65
109.58,53.21,66.41,34.3,61.51,6.6,194.71,sugarcane,8.03
99.22,46.57,106.99,21.84,75.87,6.25,160.58,sugarcane,2.18
134.57,47.61,109.28,28.17,61.95,7.91,187.04,sugarcane,6.0
131.58,46.75,111.24,20.2,72.79,7.54,290.22,sugarcane,4.58
134.55,72.78,113.29,22.99,67.1,6.58,206.56,sugarcane,4.32
103.6,61.78,69.59,30.37,64.19,6.62,225.5,sugarcane,7.2
127.79,69.58,98.73,22.34,73.68,6.17,206.6,sugarcane,3.47
104.81,41.59,76.44,34.33,83.84,6.7,156.47,sugarcane,5.05
90.75,55.69,116.87,22.12,79.09,6.22,297.19,sugarcane,4.67
102.9,71.01,80.56,29.42,64.8,6.29,290.71,sugarcane,8.16
135.06,75.5,97.53,32.12,61.73,6.67,197.06,sugarcane,7.41
118.14,54.24,68.91,28.95,80.36,6.76,169.84,sugarcane,4.04
91.8,49.5,77.99,29.64,75.02,7.39,204.38,sugarcane,5.48
129.44,48.16,88.14,32.01,64.5,6.22,282.55,sugarcane,8.8
100.58,67.35,61.52,30.35,67.9,6.11,241.47,sugarcane,7.14
94.45,55.47,64.83,22.21,67.45,6.18,286.62,sugarcane,5.65
20.18,44.52,33.7,23.08,73.52,6.24,443.17,soybean,8.43
26.17,52.25,46.4,28.84,66.08,6.8,289.09,soybean,7.83
24.99,57.49,39.84,23.72,70.2,6.51,440.41,soybean,8.9
42.14,47.92,56.43,20.5,60.14,6.7,295.4,soybean,6.04
42.32,57.58,42.71,23.42,74.23,6.67,347.81,soybean,6.56
30.55,57.29,47.07,27.62,71.24,6.51,336.74,soybean,7.9
45.45,40.9,53.82,29.41,67.46,7.11,411.02,soybean,10.3
45.35,41.85,31.54,24.02,68.48,6.68,399.79,soybean,8.35
30.71,49.04,35.59,27.49,65.91,6.31,308.38,soybean,7.82
42.46,44.48,36.48,29.67,69.3,7.44,335.42,soybean,8.68
34.25,56.94,45.75,27.07,60.04,6.67,274.69,soybean,7.61
26.18,30.03,31.18,29.77,59.85,6.99,417.82,soybean,11.3
36.52,34.59,51.84,26.0,69.63,7.15,445.08,soybean,9.74
37.21,40.25,49.45,20.68,72.95,6.18,315.57,soybean,5.22
44.47,47.92,41.81,24.73,72.09,6.51,423.93,soybean,8.69
22.64,53.3,55.43,21.82,63.61,6.25,391.32,soybean,8.01
36.06,49.06,35.89,22.12,55.83,6.48,361.95,soybean,8.29
45.74,50.01,43.06,29.53,69.38,7.4,355.52,soybean,9.03
27.77,31.58,51.78,21.21,61.06,6.8,362.88,soybean,7.52
38.02,34.99,41.39,26.17,74.4,7.09,434.52,soybean,9.1
42.87,47.75,35.76,26.67,67.47,6.9,347.96,soybean,8.21
35.86,40.03,45.58,21.98,71.1,6.28,266.99,soybean,4.82
33.09,49.75,43.13,22.77,66.16,6.52,436.57,soybean,8.95
47.68,45.07,39.84,27.37,55.73,6.71,317.26,soybean,8.98
47.62,30.36,46.58,27.41,64.7,6.13,444.49,soybean,10.64
35.54,48.43,37.1,24.83,63.58,6.11,271.23,soybean,6.52
45.12,37.19,35.85,25.05,70.37,6.09,365.36,soybean,7.78
23.58,31.09,31.58,28.34,57.36,6.07,337.58,soybean,9.52
45.32,37.87,42.65,20.4,63.98,6.87,364.18,soybean,7.01
29.97,39.47,33.2,23.67,56.99,7.15,443.25,soybean,10.27
49.1,55.95,48.02,27.01,60.7,6.95,341.13,soybean,8.85
34.46,52.73,38.46,23.18,73.49,6.08,347.13,soybean,6.55
47.38,48.31,46.39,22.5,61.87,7.28,361.84,soybean,7.8
35.44,32.99,30.48,29.64,62.54,6.9,265.94,soybean,7.96
40.49,57.98,47.27,21.26,66.63,7.15,331.28,soybean,6.34
46.4,49.46,56.98,26.24,57.63,6.46,290.36,soybean,7.92
47.26,52.81,50.29,23.01,58.68,7.13,344.83,soybean,7.93
26.77,48.5,31.21,23.26,64.37,6.22,446.93,soybean,9.48
26.27,33.91,36.11,27.69,63.51,6.85,254.2,soybean,7.04
21.03,43.37,54.5,28.85,56.73,6.81,432.65,soybean,11.64
31.64,54.89,34.01,29.35,70.03,7.41,385.32,soybean,9.51
30.9,58.15,38.27,23.32,69.02,7.15,435.88,soybean,8.81
26.14,53.94,52.16,20.64,62.74,6.42,310.9,soybean,6.13
49.49,49.28,51.53,29.77,62.54,7.2,336.91,soybean,9.41
46.09,35.42,58.43,22.19,61.52,7.13,328.75,soybean,7.08
38.25,43.34,52.27,22.28,56.17,6.45,344.86,soybean,7.97
25.04,40.64,42.0,20.57,66.67,7.33,280.35,soybean,5.11
37.93,49.94,42.58,27.01,63.21,6.76,251.47,soybean,6.81
40.75,49.84,31.15,23.68,74.58,6.63,350.39,soybean,6.65
47.3,51.52,47.46,27.98,72.29,6.69,345.02,soybean,8.07
31.58,59.0,50.91,20.83,72.26,6.72,263.75,soybean,4.3
36.49,42.51,56.33,22.04,71.53,6.84,260.92,soybean,4.68
49.16,45.38,38.73,24.69,72.16,6.46,288.54,soybean,5.96
23.87,38.94,53.4,24.72,59.55,6.25,316.55,soybean,7.79
48.2,40.29,59.64,24.85,58.58,7.34,342.07,soybean,8.44
41.29,59.51,31.51,20.97,69.41,6.42,286.86,soybean,5.09
21.18,30.66,53.23,21.34,64.35,6.91,335.67,soybean,6.68
20.81,53.51,30.32,27.62,72.87,6.65,357.11,soybean,8.14
34.31,41.68,56.62,28.94,61.72,6.92,435.38,soybean,11.22
48.86,45.27,43.58,22.79,74.18,6.21,365.97,soybean,6.74
28.48,38.37,42.15,29.99,56.1,6.87,266.51,soybean,8.72
24.64,43.19,45.31,22.59,61.33,6.13,310.64,soybean,6.86
49.0,58.34,40.05,25.71,73.19,6.01,412.14,soybean,8.64
48.45,32.74,34.84,29.61,65.75,6.02,301.53,soybean,8.34
33.5,50.79,51.99,29.95,60.75,6.81,356.66,soybean,10.04
32.17,35.07,59.32,28.53,64.97,6.9,295.45,soybean,7.97
36.31,50.85,45.46,29.9,67.23,6.56,404.43,soybean,10.34
25.11,41.54,40.41,24.32,70.64,6.73,408.8,soybean,8.41
37.29,40.26,54.3,22.38,59.49,6.76,302.17,soybean,6.81
20.27,49.45,45.33,24.46,74.34,6.86,422.69,soybean,8.36
24.18,47.08,56.04,25.83,69.36,6.56,268.49,soybean,6.18
